ticket_id,priority,open_group,routing_groups,closed_group,resolution_hours
TKT-0037,P4,Help Desk,,Help Desk,1.0
TKT-0038,P4,Help Desk,,Help Desk,0.8
TKT-0039,P4,Help Desk,,Help Desk,1.7
TKT-0040,P1,Security Operations,Identity & Access,Identity & Access,31.1
TKT-0041,P4,Security Operations,Security Operations|Telephony|Network Operations,Network Operations,15.9
TKT-0042,P4,Security Operations,,Security Operations,1.4
TKT-0043,P4,Network Operations,,Network Operations,1.6
TKT-0044,P3,Service Desk,Telephony|Identity & Access|Database Administration,Database Administration,15.3
TKT-0045,P3,Network Operations,,Network Operations,1.9
TKT-0046,P3,Security Operations,,Security Operations,1.6
TKT-0047,P1,Help Desk,Email & Collaboration,Email & Collaboration,31.2
TKT-0048,P1,Network Operations,Cloud Infrastructure|Security Operations,Security Operations,33.7
TKT-0049,P4,Network Operations,,Network Operations,1.7
TKT-0050,P4,Service Desk,,Service Desk,0.2
TKT-0051,P2,Network Operations,,Network Operations,0.6
TKT-0052,P3,Network Operations,,Network Operations,0.8
TKT-0053,P2,Service Desk,Network Operations|Security Operations|Email & Collaboration,Email & Collaboration,22.3
TKT-0054,P4,Help Desk,,Help Desk,0.7
TKT-0055,P3,Security Operations,,Security Operations,0.9
TKT-0056,P2,Security Operations,Network Operations,Network Operations,20.0
TKT-0057,P3,Network Operations,,Network Operations,0.4
TKT-0058,P1,Security Operations,Email & Collaboration|Desktop Support|Telephony,Telephony,37.0
TKT-0059,P4,Security Operations,,Security Operations,1.0
TKT-0060,P1,Service Desk,Security Operations|Database Administration|Cloud Infrastructure,Cloud Infrastructure,34.2
TKT-0061,P4,Help Desk,,Help Desk,0.2
TKT-0062,P2,Network Operations,Storage & Backup,Storage & Backup,19.6
TKT-0063,P3,Network Operations,Desktop Support|Storage & Backup|Security Operations,Security Operations,16.7
TKT-0064,P4,Service Desk,,Service Desk,0.6
TKT-0065,P1,Service Desk,,Service Desk,1.1
TKT-0066,P4,Security Operations,,Security Operations,1.8
TKT-0067,P3,Help Desk,Application Development,Application Development,11.6
TKT-0068,P2,Security Operations,Database Administration|Storage & Backup|Desktop Support,Desktop Support,23.6
TKT-0069,P4,Network Operations,,Network Operations,0.9
TKT-0070,P3,Network Operations,,Network Operations,1.4
TKT-0071,P4,Help Desk,Security Operations|Cloud Infrastructure|Telephony,Telephony,11.2
TKT-0072,P4,Security Operations,,Security Operations,1.1
TKT-0073,P3,Security Operations,,Security Operations,1.0
TKT-0074,P3,Security Operations,Identity & Access|Email & Collaboration|Security Operations,Security Operations,19.5
TKT-0075,P1,Security Operations,Identity & Access|Telephony|Network Operations,Network Operations,35.3
TKT-0076,P3,Service Desk,Telephony|Identity & Access|Security Operations,Security Operations,17.5
TKT-0077,P4,Security Operations,,Security Operations,0.1
TKT-0078,P4,Network Operations,Identity & Access,Identity & Access,8.1
TKT-0079,P4,Help Desk,,Help Desk,1.2
TKT-0080,P3,Service Desk,Database Administration|Application Development|Cloud Infrastructure,Cloud Infrastructure,15.5
TKT-0081,P2,Help Desk,Storage & Backup|Identity & Access,Identity & Access,22.1
TKT-0082,P1,Help Desk,Database Administration|Identity & Access,Identity & Access,34.3
TKT-0083,P2,Service Desk,Cloud Infrastructure|Network Operations|Security Operations,Security Operations,25.1
TKT-0084,P2,Help Desk,Security Operations|Application Development,Application Development,20.7
TKT-0085,P1,Service Desk,Database Administration|Identity & Access|Desktop Support,Desktop Support,34.1
TKT-0086,P3,Security Operations,Application Development,Application Development,10.1
TKT-0087,P1,Help Desk,Database Administration,Database Administration,29.7
TKT-0088,P1,Security Operations,Database Administration|Email & Collaboration|Application Development,Application Development,36.2
TKT-0089,P2,Help Desk,Desktop Support,Desktop Support,16.1
TKT-0090,P4,Network Operations,,Network Operations,1.9
TKT-0091,P4,Service Desk,Application Development,Application Development,7.4
TKT-0092,P2,Service Desk,Application Development|Security Operations,Security Operations,18.2
TKT-0093,P1,Service Desk,Database Administration|Security Operations|Network Operations,Network Operations,37.1
TKT-0094,P4,Security Operations,,Security Operations,1.4
TKT-0095,P3,Help Desk,Email & Collaboration|Desktop Support|Storage & Backup,Storage & Backup,18.3
TKT-0096,P1,Security Operations,Network Operations|Email & Collaboration|Identity & Access,Identity & Access,34.2
TKT-0097,P1,Network Operations,Security Operations|Network Operations,Network Operations,30.9
TKT-0098,P4,Service Desk,,Service Desk,0.9
TKT-0099,P2,Help Desk,Network Operations|Security Operations,Security Operations,21.4
TKT-0100,P3,Network Operations,Identity & Access,Identity & Access,10.1
TKT-0101,P4,Service Desk,,Service Desk,0.7
TKT-0102,P4,Help Desk,,Help Desk,0.5
TKT-0103,P1,Service Desk,Telephony|Database Administration,Database Administration,32.6
TKT-0104,P3,Network Operations,Desktop Support|Email & Collaboration,Email & Collaboration,12.3
TKT-0105,P3,Service Desk,Email & Collaboration|Network Operations|Storage & Backup,Storage & Backup,15.6
TKT-0106,P2,Network Operations,Email & Collaboration|Storage & Backup,Storage & Backup,21.6
TKT-0107,P1,Security Operations,,Security Operations,0.2
TKT-0108,P4,Service Desk,,Service Desk,0.9
TKT-0109,P2,Network Operations,Security Operations,Security Operations,17.9
TKT-0110,P3,Network Operations,,Network Operations,0.6
TKT-0111,P4,Security Operations,,Security Operations,0.1
TKT-0112,P4,Network Operations,,Network Operations,0.4
TKT-0113,P4,Help Desk,,Help Desk,0.5
TKT-0114,P4,Network Operations,Security Operations,Security Operations,5.7
TKT-0115,P2,Security Operations,Identity & Access|Email & Collaboration|Database Administration,Database Administration,24.1
TKT-0116,P2,Help Desk,Identity & Access|Network Operations|Cloud Infrastructure,Cloud Infrastructure,25.0
TKT-0117,P1,Security Operations,Storage & Backup|Application Development|Identity & Access,Identity & Access,37.6
TKT-0118,P2,Service Desk,Storage & Backup,Storage & Backup,17.4
TKT-0119,P1,Service Desk,Identity & Access|Telephony|Email & Collaboration,Email & Collaboration,34.6
TKT-0120,P3,Network Operations,Network Operations|Cloud Infrastructure|Telephony,Telephony,17.4
TKT-0121,P1,Network Operations,Identity & Access|Application Development,Application Development,33.6
TKT-0122,P4,Network Operations,,Network Operations,1.8
TKT-0123,P4,Service Desk,,Service Desk,1.9
TKT-0124,P1,Security Operations,Telephony|Identity & Access,Identity & Access,34.1
TKT-0125,P1,Security Operations,,Security Operations,1.2
TKT-0126,P1,Network Operations,Telephony,Telephony,28.9
TKT-0127,P2,Help Desk,Database Administration,Database Administration,16.1
TKT-0128,P1,Service Desk,Identity & Access|Storage & Backup|Email & Collaboration,Email & Collaboration,37.7
TKT-0129,P1,Network Operations,Cloud Infrastructure|Email & Collaboration|Application Development,Application Development,36.7
TKT-0130,P4,Help Desk,,Help Desk,1.1
TKT-0131,P2,Help Desk,Desktop Support|Storage & Backup,Storage & Backup,20.9
TKT-0132,P3,Network Operations,Email & Collaboration,Email & Collaboration,12.0
TKT-0133,P1,Help Desk,Email & Collaboration,Email & Collaboration,27.1
TKT-0134,P3,Network Operations,Identity & Access,Identity & Access,12.9
TKT-0135,P3,Help Desk,Cloud Infrastructure,Cloud Infrastructure,10.9
TKT-0136,P1,Service Desk,Database Administration|Identity & Access|Telephony,Telephony,33.8
TKT-0137,P1,Security Operations,Application Development|Cloud Infrastructure|Database Administration,Database Administration,33.8
TKT-0138,P1,Help Desk,Database Administration|Storage & Backup|Telephony,Telephony,34.6
TKT-0139,P1,Help Desk,Telephony,Telephony,29.7
TKT-0140,P1,Help Desk,Network Operations|Security Operations|Database Administration,Database Administration,37.3
TKT-0141,P1,Service Desk,Desktop Support|Database Administration|Cloud Infrastructure,Cloud Infrastructure,35.0
TKT-0142,P1,Help Desk,Desktop Support|Telephony|Application Development,Application Development,36.4
TKT-0143,P3,Security Operations,Identity & Access|Desktop Support|Email & Collaboration,Email & Collaboration,19.1
TKT-0144,P4,Service Desk,Network Operations,Network Operations,7.3
TKT-0145,P2,Service Desk,Security Operations|Application Development,Application Development,18.7
TKT-0146,P3,Security Operations,,Security Operations,0.9
TKT-0147,P2,Security Operations,Identity & Access,Identity & Access,15.6
TKT-0148,P1,Service Desk,Desktop Support,Desktop Support,29.9
TKT-0149,P3,Help Desk,Storage & Backup|Database Administration|Cloud Infrastructure,Cloud Infrastructure,16.9
TKT-0150,P4,Help Desk,,Help Desk,0.9
TKT-0151,P2,Service Desk,,Service Desk,1.6
TKT-0152,P3,Network Operations,Database Administration,Database Administration,11.6
TKT-0153,P4,Security Operations,Telephony|Storage & Backup|Desktop Support,Desktop Support,14.6
TKT-0154,P1,Security Operations,Database Administration,Database Administration,31.2
TKT-0155,P1,Network Operations,,Network Operations,1.2
TKT-0156,P4,Network Operations,Cloud Infrastructure|Database Administration|Telephony,Telephony,11.6
TKT-0157,P1,Help Desk,Desktop Support|Telephony|Application Development,Application Development,34.6
TKT-0158,P3,Help Desk,,Help Desk,1.4
TKT-0159,P2,Security Operations,Email & Collaboration|Network Operations|Cloud Infrastructure,Cloud Infrastructure,24.0
TKT-0160,P1,Help Desk,Security Operations|Desktop Support|Network Operations,Network Operations,36.9
TKT-0161,P4,Service Desk,,Service Desk,0.8
TKT-0162,P1,Help Desk,Database Administration|Identity & Access,Identity & Access,30.9
TKT-0163,P1,Service Desk,Security Operations|Cloud Infrastructure|Desktop Support,Desktop Support,33.3
TKT-0164,P3,Help Desk,,Help Desk,1.8
TKT-0165,P4,Network Operations,Desktop Support|Network Operations,Network Operations,10.9
TKT-0166,P3,Help Desk,Email & Collaboration|Telephony,Telephony,16.4
TKT-0167,P3,Security Operations,,Security Operations,1.9
TKT-0168,P1,Help Desk,Email & Collaboration,Email & Collaboration,29.1
TKT-0169,P2,Help Desk,,Help Desk,1.4
TKT-0170,P1,Network Operations,Desktop Support,Desktop Support,31.3
TKT-0171,P3,Security Operations,Security Operations|Identity & Access,Identity & Access,16.2
TKT-0172,P2,Network Operations,Identity & Access|Desktop Support,Desktop Support,21.7
TKT-0173,P3,Service Desk,Database Administration|Security Operations|Application Development,Application Development,18.0
TKT-0174,P4,Service Desk,Storage & Backup|Telephony,Telephony,10.5
TKT-0175,P3,Network Operations,Network Operations|Storage & Backup|Email & Collaboration,Email & Collaboration,17.0
TKT-0176,P3,Network Operations,Desktop Support|Security Operations,Security Operations,12.4
TKT-0177,P2,Security Operations,Telephony,Telephony,19.5
TKT-0178,P3,Help Desk,,Help Desk,0.4
TKT-0179,P4,Security Operations,,Security Operations,0.2
TKT-0180,P1,Security Operations,,Security Operations,1.2
TKT-0181,P2,Network Operations,Network Operations|Desktop Support,Desktop Support,21.6
TKT-0182,P2,Service Desk,Email & Collaboration,Email & Collaboration,18.3
TKT-0183,P3,Security Operations,,Security Operations,1.7
TKT-0184,P1,Service Desk,Telephony|Cloud Infrastructure,Cloud Infrastructure,34.8
TKT-0185,P1,Service Desk,Storage & Backup|Application Development|Email & Collaboration,Email & Collaboration,36.0
TKT-0186,P3,Network Operations,Storage & Backup|Network Operations|Email & Collaboration,Email & Collaboration,19.7
TKT-0187,P3,Network Operations,Network Operations|Identity & Access|Desktop Support,Desktop Support,17.6
TKT-0188,P1,Service Desk,Security Operations|Telephony|Network Operations,Network Operations,36.4
TKT-0189,P3,Help Desk,,Help Desk,0.3
TKT-0190,P2,Network Operations,Network Operations|Identity & Access,Identity & Access,21.8
TKT-0191,P1,Service Desk,Application Development,Application Development,28.8
TKT-0192,P2,Service Desk,Identity & Access|Cloud Infrastructure,Cloud Infrastructure,19.4
TKT-0193,P4,Help Desk,Identity & Access,Identity & Access,6.9
TKT-0194,P2,Help Desk,Database Administration|Application Development,Application Development,20.1
TKT-0195,P1,Service Desk,Cloud Infrastructure|Identity & Access|Telephony,Telephony,33.2
TKT-0196,P2,Help Desk,Email & Collaboration|Application Development|Identity & Access,Identity & Access,25.2
TKT-0197,P4,Help Desk,,Help Desk,1.1
TKT-0198,P3,Service Desk,Email & Collaboration|Application Development|Telephony,Telephony,19.8
TKT-0199,P4,Service Desk,Network Operations,Network Operations,8.3
TKT-0200,P2,Service Desk,Telephony|Database Administration,Database Administration,18.5
TKT-0201,P1,Service Desk,Identity & Access|Database Administration,Database Administration,32.4
TKT-0202,P2,Security Operations,Security Operations|Email & Collaboration,Email & Collaboration,20.6
TKT-0203,P2,Network Operations,Email & Collaboration|Cloud Infrastructure|Storage & Backup,Storage & Backup,22.9
TKT-0204,P2,Security Operations,,Security Operations,2.0
TKT-0205,P4,Service Desk,,Service Desk,1.0
TKT-0206,P1,Network Operations,Cloud Infrastructure|Desktop Support,Desktop Support,34.3
TKT-0207,P1,Security Operations,Application Development|Desktop Support|Email & Collaboration,Email & Collaboration,34.0
TKT-0208,P2,Network Operations,Database Administration,Database Administration,17.2
TKT-0209,P3,Security Operations,,Security Operations,1.2
TKT-0210,P1,Service Desk,Telephony,Telephony,30.8
TKT-0211,P3,Help Desk,Cloud Infrastructure|Identity & Access,Identity & Access,13.3
TKT-0212,P4,Service Desk,Application Development,Application Development,5.4
TKT-0213,P3,Network Operations,Security Operations|Network Operations,Network Operations,13.6
TKT-0214,P4,Security Operations,,Security Operations,1.8
TKT-0215,P4,Network Operations,Network Operations|Database Administration|Telephony,Telephony,13.3
TKT-0216,P4,Network Operations,,Network Operations,0.8
TKT-0217,P3,Service Desk,,Service Desk,0.7
TKT-0218,P3,Network Operations,,Network Operations,1.4
TKT-0219,P4,Help Desk,Network Operations|Security Operations,Security Operations,11.6
TKT-0220,P1,Network Operations,Identity & Access|Storage & Backup,Storage & Backup,34.5
TKT-0221,P1,Network Operations,Security Operations|Telephony,Telephony,32.4
TKT-0222,P4,Service Desk,,Service Desk,1.9
TKT-0223,P3,Help Desk,Security Operations|Storage & Backup|Identity & Access,Identity & Access,19.0
TKT-0224,P4,Network Operations,,Network Operations,0.9
TKT-0225,P1,Service Desk,Identity & Access|Desktop Support,Desktop Support,30.1
TKT-0226,P3,Help Desk,Database Administration,Database Administration,10.2
TKT-0227,P1,Network Operations,Database Administration|Telephony,Telephony,30.1
TKT-0228,P3,Network Operations,Security Operations|Database Administration|Storage & Backup,Storage & Backup,18.1
TKT-0229,P1,Network Operations,Telephony|Cloud Infrastructure|Application Development,Application Development,36.7
TKT-0230,P3,Security Operations,,Security Operations,1.3
TKT-0231,P4,Help Desk,,Help Desk,1.6
TKT-0232,P4,Security Operations,,Security Operations,0.4
TKT-0233,P1,Help Desk,Desktop Support|Telephony,Telephony,31.1
TKT-0234,P1,Help Desk,Telephony|Email & Collaboration|Storage & Backup,Storage & Backup,35.7
TKT-0235,P3,Network Operations,,Network Operations,0.4
TKT-0236,P4,Security Operations,Database Administration|Security Operations|Telephony,Telephony,13.3
TKT-0237,P4,Security Operations,,Security Operations,1.5
TKT-0238,P3,Network Operations,Application Development|Storage & Backup|Database Administration,Database Administration,17.0
TKT-0239,P4,Security Operations,,Security Operations,1.5
TKT-0240,P2,Service Desk,Application Development|Cloud Infrastructure,Cloud Infrastructure,21.1
TKT-0241,P1,Help Desk,,Help Desk,0.2
TKT-0242,P2,Network Operations,,Network Operations,1.2
TKT-0243,P1,Network Operations,Cloud Infrastructure|Application Development|Security Operations,Security Operations,37.3
TKT-0244,P2,Security Operations,,Security Operations,1.3
TKT-0245,P2,Network Operations,Network Operations|Desktop Support|Security Operations,Security Operations,25.9
TKT-0246,P1,Service Desk,Security Operations|Network Operations|Telephony,Telephony,37.7
TKT-0247,P2,Security Operations,Database Administration|Cloud Infrastructure,Cloud Infrastructure,19.8
TKT-0248,P1,Help Desk,Desktop Support,Desktop Support,31.7
TKT-0249,P2,Network Operations,Security Operations|Email & Collaboration|Identity & Access,Identity & Access,22.1
TKT-0250,P2,Service Desk,Identity & Access|Desktop Support,Desktop Support,20.5
TKT-0251,P3,Service Desk,Telephony|Database Administration|Desktop Support,Desktop Support,18.6
TKT-0252,P4,Security Operations,,Security Operations,0.7
TKT-0253,P2,Security Operations,Email & Collaboration,Email & Collaboration,16.9
TKT-0254,P1,Security Operations,Email & Collaboration|Identity & Access,Identity & Access,33.8
TKT-0255,P3,Service Desk,,Service Desk,0.6
TKT-0256,P3,Help Desk,,Help Desk,0.3
TKT-0257,P4,Network Operations,,Network Operations,1.9
TKT-0258,P3,Service Desk,Application Development,Application Development,13.9
TKT-0259,P1,Security Operations,Cloud Infrastructure|Identity & Access,Identity & Access,30.7
TKT-0260,P4,Help Desk,,Help Desk,0.9
TKT-0261,P2,Help Desk,Database Administration,Database Administration,16.2
TKT-0262,P2,Help Desk,Database Administration|Storage & Backup,Storage & Backup,19.5
TKT-0263,P1,Security Operations,Telephony|Security Operations,Security Operations,30.1
TKT-0264,P1,Network Operations,,Network Operations,0.5
TKT-0265,P2,Network Operations,Security Operations|Cloud Infrastructure,Cloud Infrastructure,22.5
TKT-0266,P4,Network Operations,,Network Operations,1.0
TKT-0267,P4,Network Operations,,Network Operations,0.6
TKT-0268,P1,Help Desk,Identity & Access|Application Development,Application Development,34.8
TKT-0269,P1,Help Desk,Database Administration,Database Administration,29.9
TKT-0270,P2,Network Operations,Security Operations,Security Operations,18.9
TKT-0271,P4,Network Operations,,Network Operations,0.7
TKT-0272,P2,Network Operations,Email & Collaboration|Storage & Backup|Network Operations,Network Operations,23.3
TKT-0273,P1,Network Operations,Cloud Infrastructure|Desktop Support,Desktop Support,32.4
TKT-0274,P1,Security Operations,Database Administration|Telephony,Telephony,33.9
TKT-0275,P1,Security Operations,Identity & Access,Identity & Access,27.3
TKT-0276,P3,Security Operations,,Security Operations,1.0
TKT-0277,P4,Network Operations,,Network Operations,0.2
TKT-0278,P4,Service Desk,Desktop Support|Network Operations|Storage & Backup,Storage & Backup,14.6
TKT-0279,P2,Help Desk,Security Operations|Cloud Infrastructure|Database Administration,Database Administration,23.7
TKT-0280,P4,Help Desk,Desktop Support|Network Operations,Network Operations,9.1
TKT-0281,P3,Help Desk,Security Operations|Network Operations|Database Administration,Database Administration,19.8
TKT-0282,P2,Security Operations,,Security Operations,1.7
TKT-0283,P3,Help Desk,,Help Desk,0.3
TKT-0284,P3,Security Operations,,Security Operations,1.0
TKT-0285,P4,Service Desk,Telephony,Telephony,9.3
TKT-0286,P1,Security Operations,Application Development,Application Development,28.3
TKT-0287,P1,Security Operations,Database Administration|Cloud Infrastructure|Telephony,Telephony,33.9
TKT-0288,P3,Network Operations,Desktop Support,Desktop Support,13.6
TKT-0289,P3,Security Operations,,Security Operations,1.6
TKT-0290,P4,Network Operations,,Network Operations,0.4
TKT-0291,P4,Help Desk,,Help Desk,0.2
TKT-0292,P3,Security Operations,,Security Operations,0.2
TKT-0293,P4,Network Operations,,Network Operations,0.4
TKT-0294,P1,Security Operations,Storage & Backup|Email & Collaboration|Application Development,Application Development,35.4
TKT-0295,P4,Security Operations,,Security Operations,1.4
TKT-0296,P2,Service Desk,Security Operations|Application Development|Storage & Backup,Storage & Backup,23.3
TKT-0297,P1,Network Operations,Network Operations|Cloud Infrastructure|Application Development,Application Development,36.2
TKT-0298,P3,Help Desk,Telephony,Telephony,12.4
TKT-0299,P1,Security Operations,Application Development|Database Administration,Database Administration,32.4
TKT-0300,P1,Service Desk,Desktop Support|Telephony,Telephony,32.6
TKT-0301,P2,Help Desk,Database Administration|Application Development|Cloud Infrastructure,Cloud Infrastructure,25.0
TKT-0302,P2,Service Desk,Storage & Backup|Security Operations|Telephony,Telephony,22.8
TKT-0303,P2,Service Desk,,Service Desk,0.4
TKT-0304,P1,Service Desk,Application Development|Security Operations|Email & Collaboration,Email & Collaboration,35.1
TKT-0305,P1,Help Desk,Email & Collaboration,Email & Collaboration,30.5
TKT-0306,P1,Service Desk,Desktop Support|Security Operations,Security Operations,30.7
TKT-0307,P2,Network Operations,Database Administration|Desktop Support|Cloud Infrastructure,Cloud Infrastructure,25.0
TKT-0308,P4,Service Desk,,Service Desk,0.9
TKT-0309,P4,Security Operations,,Security Operations,0.2
TKT-0310,P4,Service Desk,Email & Collaboration|Identity & Access,Identity & Access,11.4
TKT-0311,P1,Service Desk,Application Development|Cloud Infrastructure|Identity & Access,Identity & Access,35.9
TKT-0312,P2,Help Desk,Desktop Support,Desktop Support,18.3
TKT-0313,P1,Help Desk,Security Operations,Security Operations,30.2
TKT-0314,P2,Help Desk,Database Administration|Security Operations|Network Operations,Network Operations,23.6
TKT-0315,P2,Service Desk,Network Operations,Network Operations,18.1
TKT-0316,P3,Service Desk,Telephony,Telephony,10.9
TKT-0317,P3,Network Operations,Application Development,Application Development,9.4
TKT-0318,P2,Network Operations,Storage & Backup,Storage & Backup,19.3
TKT-0319,P4,Network Operations,,Network Operations,1.8
TKT-0320,P4,Security Operations,,Security Operations,2.0
TKT-0321,P1,Network Operations,Database Administration|Cloud Infrastructure|Security Operations,Security Operations,34.2
TKT-0322,P3,Help Desk,Application Development|Storage & Backup|Telephony,Telephony,17.5
TKT-0323,P4,Security Operations,Security Operations|Desktop Support,Desktop Support,8.3
TKT-0324,P2,Service Desk,Telephony,Telephony,17.7
TKT-0325,P2,Service Desk,Security Operations|Identity & Access,Identity & Access,19.2
TKT-0326,P4,Service Desk,Storage & Backup,Storage & Backup,6.0
TKT-0327,P4,Service Desk,,Service Desk,1.3
TKT-0328,P4,Network Operations,,Network Operations,0.4
TKT-0329,P1,Security Operations,Application Development|Cloud Infrastructure|Security Operations,Security Operations,37.2
TKT-0330,P1,Network Operations,Security Operations|Application Development,Application Development,34.5
TKT-0331,P1,Network Operations,Database Administration|Telephony|Identity & Access,Identity & Access,33.9
TKT-0332,P3,Help Desk,,Help Desk,1.8
TKT-0333,P1,Service Desk,Cloud Infrastructure,Cloud Infrastructure,27.4
TKT-0334,P1,Security Operations,Identity & Access,Identity & Access,27.9
TKT-0335,P2,Security Operations,Email & Collaboration|Cloud Infrastructure|Database Administration,Database Administration,24.1
TKT-0336,P2,Security Operations,Storage & Backup|Network Operations,Network Operations,19.9
TKT-0337,P1,Security Operations,Email & Collaboration,Email & Collaboration,29.3
TKT-0338,P3,Service Desk,,Service Desk,0.7
TKT-0339,P1,Network Operations,Storage & Backup,Storage & Backup,28.1
TKT-0340,P3,Network Operations,,Network Operations,0.8
TKT-0341,P3,Security Operations,Identity & Access,Identity & Access,9.5
TKT-0342,P4,Service Desk,Cloud Infrastructure|Database Administration,Database Administration,12.2
TKT-0343,P2,Security Operations,Security Operations|Storage & Backup,Storage & Backup,18.5
TKT-0344,P4,Network Operations,Application Development,Application Development,5.5
TKT-0345,P2,Service Desk,,Service Desk,0.7
TKT-0346,P4,Service Desk,Application Development|Storage & Backup|Email & Collaboration,Email & Collaboration,11.9
TKT-0347,P3,Service Desk,Database Administration,Database Administration,12.5
TKT-0348,P3,Service Desk,Database Administration|Storage & Backup|Network Operations,Network Operations,16.3
TKT-0349,P1,Service Desk,Database Administration,Database Administration,28.0
TKT-0350,P3,Security Operations,Telephony|Storage & Backup|Cloud Infrastructure,Cloud Infrastructure,16.1
TKT-0351,P4,Service Desk,,Service Desk,1.7
TKT-0352,P4,Security Operations,Desktop Support|Telephony,Telephony,8.6
TKT-0353,P3,Help Desk,,Help Desk,0.6
TKT-0354,P1,Service Desk,Security Operations|Network Operations,Network Operations,31.3
TKT-0355,P2,Help Desk,Desktop Support|Identity & Access|Application Development,Application Development,22.7
TKT-0356,P4,Network Operations,Telephony|Network Operations|Application Development,Application Development,12.5
TKT-0357,P2,Network Operations,Security Operations,Security Operations,16.1
TKT-0358,P2,Help Desk,,Help Desk,1.3
TKT-0359,P1,Network Operations,Database Administration,Database Administration,31.3
TKT-0360,P4,Service Desk,,Service Desk,1.7
TKT-0361,P2,Help Desk,Email & Collaboration|Telephony|Desktop Support,Desktop Support,21.7
TKT-0362,P2,Service Desk,Security Operations|Telephony|Email & Collaboration,Email & Collaboration,23.5
TKT-0363,P1,Help Desk,Network Operations,Network Operations,29.6
TKT-0364,P4,Service Desk,,Service Desk,1.3
TKT-0365,P2,Help Desk,Telephony|Cloud Infrastructure|Storage & Backup,Storage & Backup,24.9
TKT-0366,P2,Help Desk,Network Operations|Telephony|Security Operations,Security Operations,23.2
TKT-0367,P1,Service Desk,Security Operations,Security Operations,30.5
TKT-0368,P1,Service Desk,Desktop Support,Desktop Support,28.8
TKT-0369,P4,Security Operations,,Security Operations,0.3
TKT-0370,P1,Security Operations,Storage & Backup|Database Administration,Database Administration,32.0
TKT-0371,P4,Network Operations,,Network Operations,2.0
TKT-0372,P3,Network Operations,,Network Operations,0.9
TKT-0373,P2,Security Operations,Network Operations|Telephony,Telephony,19.6
TKT-0374,P2,Network Operations,Database Administration|Cloud Infrastructure|Desktop Support,Desktop Support,22.0
TKT-0375,P1,Service Desk,Storage & Backup|Application Development|Email & Collaboration,Email & Collaboration,37.8
TKT-0376,P1,Service Desk,Email & Collaboration|Telephony|Cloud Infrastructure,Cloud Infrastructure,37.8
TKT-0377,P4,Help Desk,Identity & Access|Storage & Backup|Desktop Support,Desktop Support,11.9
TKT-0378,P3,Help Desk,Network Operations|Cloud Infrastructure,Cloud Infrastructure,14.2
TKT-0379,P1,Service Desk,Network Operations,Network Operations,27.4
TKT-0380,P2,Security Operations,,Security Operations,0.6
TKT-0381,P1,Security Operations,Desktop Support,Desktop Support,31.2
